date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2021-05-01,4,14,0,0,1,12,6,0,6,0,0,0,1,1,28,38,0,0,0,0,18,70,3,12,0
2021-06-01,5,16,0,0,1,9,0,0,0,11,0,0,1,1,30,37,0,0,21,0,18,71,5,10,4
2021-07-01,2,7,0,0,0,14,0,0,0,6,0,0,1,0,20,19,0,0,10,0,12,45,4,8,0
2021-08-01,3,10,0,0,0,14,0,0,0,7,0,0,1,1,23,33,0,0,0,0,14,50,4,9,0
2021-09-01,4,13,0,0,1,18,6,0,6,14,0,0,1,1,30,40,0,0,0,7,12,50,5,8,0
2021-10-01,3,10,0,0,0,15,0,0,6,6,0,0,1,1,22,54,0,0,0,6,21,43,3,7,0
2021-11-01,4,12,0,0,0,11,0,0,0,0,0,0,1,1,24,34,0,0,0,0,14,45,0,10,0
2021-12-01,2,5,0,0,0,10,0,0,0,0,0,0,1,2,17,16,0,0,0,7,11,47,0,8,0
2022-01-01,1,2,0,0,0,10,0,0,0,0,0,0,1,0,21,36,0,0,0,0,17,47,6,10,0
2022-02-01,2,3,0,0,0,14,5,0,0,5,0,0,1,0,25,33,0,0,0,0,16,43,6,7,0
2022-03-01,4,8,0,0,0,8,0,0,3,5,0,0,1,1,29,56,0,0,0,9,17,59,4,9,0
2022-04-01,4,9,0,0,0,12,0,0,0,0,0,0,1,1,29,29,0,0,0,6,16,55,0,9,0
2022-05-01,4,11,0,0,1,14,0,0,0,5,0,0,1,1,34,29,0,0,0,9,20,54,5,11,2
2022-06-01,4,12,0,0,1,18,0,0,0,4,0,0,1,1,49,34,0,0,0,11,18,58,6,8,0
2022-07-01,2,5,0,0,0,9,0,0,0,0,0,0,1,1,33,33,0,0,0,5,10,37,2,8,0
