title,url,date,source,keyword
Número de jovens que não estudam nem trabalham é o menor da série histórica do IBGE,https://g1.globo.com/economia/noticia/2024/12/04/numero-de-jovens-que-nao-estudam-nem-trabalham-e-o-menor-da-serie-historica-do-ibge.ghtml,2024-12-04,g1,recessão brasil
"Dólar fecha em queda, mas continua acima dos R$ 6; Ibovespa sobe",https://g1.globo.com/economia/noticia/2024/12/05/dolar-ibovespa.ghtml,2024-12-05,g1,ibovespa
MPF move ação para garantir direitos básicos para indígenas venezuelanos que vivem em Cuiabá,https://g1.globo.com/mt/mato-grosso/noticia/2024/12/11/mpf-move-acao-para-garantir-direitos-basicos-para-indigenas-venezuelanos-que-vivem-em-cuiaba.ghtml,2024-12-11,g1,crise econômica
Bolsa de Valores: ações de quase todas as empresas caem,https://g1.globo.com/jornal-nacional/noticia/2024/12/12/bolsa-de-valores-acoes-de-quase-todas-as-empresas-caem.ghtml,2024-12-12,g1,bolsa valores
"Dólar sobe e fecha a R$ 6,03, com risco fiscal e apesar de intervenção do BC; Ibovespa cai",https://g1.globo.com/economia/noticia/2024/12/13/dolar-ibovespa.ghtml,2024-12-13,g1,ibovespa
Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia,https://g1.globo.com/economia/noticia/2024/12/15/como-grecia-e-espanha-superaram-crise-economica-e-agora-puxam-crescimento-da-uniao-europeia.ghtml,2024-12-15,g1,crise econômica
"Dólar avança e fecha em R$ 6,18, com avaliação final do pacote de corte de gastos; Ibovespa cai",https://g1.globo.com/economia/noticia/2024/12/23/dolar-ibovespa.ghtml,2024-12-23,g1,ibovespa
"Dólar ganha força e fecha a R$ 6,17, mesmo após novo leilão do BC; Ibovespa avança",https://g1.globo.com/economia/noticia/2024/12/26/dolar-ibovespa.ghtml,2024-12-26,g1,ibovespa
O que a taxa de juros tem a ver com emprego e como ela pode frear alta de vagas na indústria da região de Campinas,https://g1.globo.com/sp/campinas-regiao/noticia/2024/12/31/o-que-a-taxa-de-juros-tem-a-ver-com-emprego-e-como-ela-pode-frear-alta-de-vagas-na-industria-da-regiao-de-campinas.ghtml,2024-12-31,g1,recessão brasil
Grupo do interior de SP relata prejuízo de R$ 419 mil e denuncia plataforma que prometia lucros com uso de IA na bolsa de valores,https://g1.globo.com/sp/piracicaba-regiao/noticia/2025/01/09/grupo-do-interior-de-sp-relata-prejuizo-de-r-419-mil-e-denuncia-plataforma-que-prometia-lucros-com-uso-de-ia-na-bolsa-de-valores.ghtml,2025-01-09,g1,bolsa valores
"Em crise financeira, Prefeitura de Areias afirma não ter recursos para quitar salários e férias de parte dos servidores; entenda",https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/01/10/em-crise-financeira-prefeitura-de-areias-afirma-nao-ter-recursos-para-quitar-salarios-e-ferias-de-parte-dos-servidores-entenda.ghtml,2025-01-10,g1,crise financeira
"Em crise financeira, Taubaté anuncia que não terá desfile de escolas de samba na Avenida do Povo durante o Carnaval",https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/01/16/em-crise-financeira-taubate-anuncia-que-nao-tera-desfile-de-escolas-de-samba-na-avenida-do-povo-durante-o-carnaval.ghtml,2025-01-16,g1,crise financeira
"Em crise financeira, Prefeitura de Taubaté vai fazer mutirão para negociar dívidas com mais de 170 credores; entenda",https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/01/17/em-crise-financeira-prefeitura-de-taubate-vai-fazer-mutirao-para-negociar-dividas-com-mais-de-170-credores-entenda.ghtml,2025-01-17,g1,crise financeira
Silvio Mendes destaca crise financeira e desafios na saúde durante abertura do Ano Legislativo na Câmara de Vereadores de Teresina,https://g1.globo.com/pi/piaui/noticia/2025/02/04/silvio-mendes-destaca-crise-financeira-e-desafios-na-saude-durante-abertura-do-ano-legislativo-na-camara-de-vereadores-de-teresina.ghtml,2025-02-04,g1,crise financeira
"Tragédia em Vinhedo, parceria com Latam, acordos trabalhistas: o que se sabe sobre crise financeira da Voepass",https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/03/04/tragedia-em-vinhedo-parceria-com-latam-acordos-trabalhistas-o-que-se-sabe-sobre-crise-financeira-da-voepass.ghtml,2025-03-04,g1,crise financeira
Duas áreas do Porto de Paranaguá serão leiloadas na Bolsa de Valores em abril; entenda,https://g1.globo.com/pr/parana/noticia/2025/03/11/duas-areas-do-porto-de-paranagua-serao-leiloadas-na-bolsa-de-valores-em-abril-entenda.ghtml,2025-03-11,g1,bolsa valores
O Assunto #1425: O temor de recessão nos EUA,https://g1.globo.com/podcast/o-assunto/noticia/2025/03/13/o-assunto-1425-o-temor-de-recessao-nos-eua.ghtml,2025-03-13,g1,recessão brasil
"Crise mental no trabalho, corrida armamentista, risco de recessão nos EUA: todos os episódios da semana de O Assunto",https://g1.globo.com/podcast/o-assunto/noticia/2025/03/15/todos-os-episodios-da-semana-de-o-assunto.ghtml,2025-03-15,g1,recessão brasil
"Fundo a ser usado em caso de crise em Goiás pode chegar a R$ 5 bilhões, estima governo",https://g1.globo.com/go/goias/noticia/2025/03/20/fundo-a-ser-usado-em-caso-de-crise-em-goias-pode-chegar-a-r-5-bilhoes-estima-governo.ghtml,2025-03-20,g1,crise econômica
Risco de recessão nos EUA: qual seria o impacto no Brasil e no mundo?,https://g1.globo.com/economia/noticia/2025/03/23/risco-de-recessao-nos-eua-qual-seria-o-impacto-no-brasil-e-no-mundo.ghtml,2025-03-23,g1,recessão brasil
"Viúva de copiloto de avião que caiu em Vinhedo detalha luto, crise financeira e negativa da Voepass para pagar túmulo: 'Humilhante'",https://g1.globo.com/sp/campinas-regiao/noticia/2025/03/28/viuva-de-copiloto-de-aviao-que-caiu-em-vinhedo-detalha-luto-crise-financeira-e-negativa-da-voepass-para-pagar-tumulo-humilhante.ghtml,2025-03-28,g1,crise financeira
Tarifas recíprocas: por que o dólar caiu e a bolsa brasileira se segurou após o ‘tarifaço’ de Trump,https://g1.globo.com/economia/noticia/2025/04/03/tarifas-reciprocas-por-que-o-dolar-esta-caindo-e-a-bolsa-brasileira-subindo-apos-o-tarifaco-de-trump.ghtml,2025-04-03,g1,recessão brasil
Como um clássico da Sessão da Tarde está sendo associado ao tarifaço de Trump e ao risco de uma crise econômica,https://g1.globo.com/mundo/noticia/2025/04/03/como-um-classico-da-sessao-da-tarde-esta-sendo-associado-ao-tarifaco-de-trump-e-ao-risco-de-uma-crise-economica.ghtml,2025-04-03,g1,crise econômica
Como o tarifaço de Trump mexe com a economia mundial,https://g1.globo.com/fantastico/noticia/2025/04/06/como-o-tarifaco-de-trump-mexe-com-a-economia-mundial.ghtml,2025-04-06,g1,recessão brasil
Por que real vive dia de 'gangorra' em relação ao dólar em meio a vai e vem de tarifas,https://g1.globo.com/economia/noticia/2025/04/09/por-que-real-vive-dia-de-gangorra-em-relacao-ao-dolar-em-meio-a-vai-e-vem-de-tarifas.ghtml,2025-04-09,g1,recessão brasil
O Assunto #1447: A grande depressão econômica do século 20,https://g1.globo.com/podcast/o-assunto/noticia/2025/04/14/o-assunto-1447-a-grande-depressao-economica-do-seculo-20.ghtml,2025-04-14,g1,crise econômica
Venezuelana que escoltou famosos deixa país por crise econômica e recomeça como costureira em SP,https://g1.globo.com/sp/santos-regiao/noticia/2025/04/22/venezuelana-que-escoltou-famosos-deixa-pais-por-crise-economica-e-recomeca-como-costureira-em-sp.ghtml,2025-04-22,g1,crise econômica
"Em pedido de recuperação judicial, Voepass culpa Latam por crise financeira: 'Principal responsável'",https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/04/23/em-pedido-de-recuperacao-judicial-voepass-culpa-latam-por-crise-financeira-principal-responsavel.ghtml,2025-04-23,g1,crise financeira
Prefeitura de Teresina cria comissão que deve discutir crise financeira e elaborar medidas para cobrir rombo de R$ 1 bilhão,https://g1.globo.com/pi/piaui/noticia/2025/05/06/prefeitura-de-teresina-cria-comissao-que-deve-discutir-crise-financeira-e-elaborar-medidas-para-cobrir-rombo-de-r-1-bilhao.ghtml,2025-05-06,g1,crise financeira
EUA x China: a trégua - O Assunto #1465,https://g1.globo.com/podcast/o-assunto/noticia/2025/05/13/eua-x-china-a-tregua-o-assunto-1465.ghtml,2025-05-13,g1,recessão brasil
"'Brasil tem bênção e maldição ao mesmo tempo', diz professor sobre relação do país com a China",https://g1.globo.com/podcast/o-assunto/noticia/2025/05/13/brasil-tem-bencao-e-maldicao-ao-mesmo-tempo-diz-professor-sobre-relacao-do-pais-com-a-china.ghtml,2025-05-13,g1,recessão brasil
