date,crisis_probability,regime
365,0.0010455340790783666,0
366,0.0011364799997119553,0
367,0.00012910264494291583,0
368,0.00011529997099705965,0
369,0.0011321867275069395,0
370,0.017498510189014334,0
371,0.24060532391780878,0
372,0.45003566410857976,0
373,0.6602292244484511,1
374,0.8714344085308532,1
375,0.9994526570572829,1
376,0.9999977458583027,1
377,0.9999999909146133,1
378,0.9999999972859939,1
379,0.9999999828683989,1
380,0.9999999964122605,1
381,0.9999999610026938,1
382,0.999999967071368,1
383,0.9999859605309857,1
384,0.9999998063191817,1
385,0.9999942666818415,1
386,0.9999874500361724,1
387,0.9990668887913616,1
388,0.9980140430355208,1
389,0.996746726792502,1
390,0.9846195692270092,1
391,0.8603737207530808,1
392,0.12531022234443967,0
393,0.02291223975704174,0
394,0.011714974375537871,0
395,0.016233346397866825,0
396,0.017304174739809386,0
397,0.0024526939219951514,0
398,0.0004361433481132745,0
399,0.0004850112149661546,0
400,0.002671414288383609,0
401,0.015655851138546728,0
402,0.016948385861802823,0
403,0.00483952175263141,0
404,0.00046590273891857306,0
405,0.0001176457880066408,0
406,0.00028170390291087314,0
407,0.003986706591265146,0
408,0.0057063389186681295,0
409,0.000738896854751098,0
410,0.00011470621185956793,0
411,9.097181624853699e-05,0
412,0.00022248175426580025,0
413,0.00148406348261678,0
414,0.0017185651635396645,0
415,0.00014578775589630207,0
416,5.2600956445245863e-05,0
417,0.00024728078822210077,0
418,0.005268774623708461,0
419,0.1144277991645422,0
420,0.3186883751644567,0
421,0.6444582886194801,1
422,0.8544437685604711,1
423,0.9998104796992001,1
424,0.9999996357849447,1
425,0.9999999999636703,1
426,0.9999999999907119,1
427,0.9999998378975025,1
428,0.9999999992494383,1
429,0.999999964672444,1
430,0.9999836893324964,1
431,0.9062144908114697,1
432,0.545830425696994,1
433,0.02583098827427081,0
434,0.000997718579820699,0
435,0.0002499516659290977,0
436,5.5360921414162395e-05,0
437,3.038276723695283e-05,0
438,3.7681300355277136e-05,0
439,3.6871468666327304e-05,0
440,5.157328606492061e-05,0
441,0.0004014725457962953,0
442,0.0005692302769241092,0
443,8.977469742477227e-05,0
444,4.3438502565537776e-05,0
445,4.1325760043265075e-05,0
446,3.4519167113090475e-05,0
447,0.00017001254948604308,0
448,0.00015625939547348158,0
449,3.486670286060781e-05,0
450,2.9292769439438254e-05,0
451,2.9182992038552816e-05,0
452,3.0913474980448114e-05,0
453,9.14059802728584e-05,0
454,0.00014916527210043866,0
455,3.6840136639419844e-05,0
456,3.268134307612636e-05,0
457,3.85862457905378e-05,0
458,0.0001394178324942762,0
459,0.0023920044150165447,0
460,0.0033619813633757696,0
461,0.0005117893937452763,0
462,0.00017087424225224653,0
463,0.00020388631847744656,0
464,0.0007371237156152134,0
465,0.005271084706847535,0
466,0.006136061155101211,0
467,0.000635744403184989,0
468,0.00016861618353928112,0
469,0.00022823099950513746,0
470,0.0016758867427476276,0
471,0.021517666357079784,0
472,0.02456318718911027,0
473,0.01092387139125436,0
474,0.009105482952345452,0
475,0.018718814865685347,0
476,0.0979434737629839,0
477,0.9015328658655442,1
478,0.9886938716430623,1
479,0.9969113731271776,1
480,0.9991720565526887,1
481,0.9999979777345503,1
482,0.9999995095206643,1
483,0.9999999999507257,1
484,0.9999999999669,1
485,0.9999999996910163,1
486,0.9999999999644046,1
487,0.9999999999995279,1
488,0.9999999999988048,1
489,0.9999999999998079,1
490,0.9999999999996042,1
491,0.9999999941093157,1
492,0.9999999959588809,1
493,0.9999871365898937,1
494,0.9996611410555919,1
495,0.989341681364598,1
496,0.9020333659140212,1
497,0.10680430331869133,0
498,0.011168053778229983,0
499,0.001205317851536584,0
500,0.00047280172930974716,0
501,0.0022453534791003274,0
502,0.00211934949544429,0
503,0.00012079471628192266,0
504,3.995220103146465e-05,0
505,3.6984005297918486e-05,0
506,5.226227917164901e-05,0
507,0.0005579281900655907,0
508,0.000569575401335836,0
509,0.0001033788703159542,0
510,6.937082813157779e-05,0
511,0.00011927772230257344,0
512,0.0010043842141843433,0
513,0.014303276630937469,0
514,0.01681263566216737,0
515,0.0016306161105818823,0
516,0.00019274858277337116,0
517,7.816495454489005e-05,0
518,6.0262130367381976e-05,0
519,0.00010735594826970292,0
520,0.0009730112020651598,0
521,0.00010916240906041442,0
522,4.683702085688899e-05,0
523,4.261197642946395e-05,0
524,4.660549558485044e-05,0
525,0.00015500463028463677,0
526,0.0025395937256055827,0
527,0.0028066809365451077,0
528,0.00023939764901546499,0
529,8.488327993932384e-05,0
530,0.00045584079147281144,0
531,0.007791435648025825,0
532,0.16292783589702411,0
533,0.31785938089353416,0
534,0.4867612826284856,0
535,0.7082869122920454,1
536,0.9728655669237052,1
537,0.9989064687990035,1
538,0.9999994980560849,1
539,0.9999998672759317,1
540,0.9999997673774867,1
541,0.9999999604007497,1
542,0.9999997638063186,1
543,0.9999999205080985,1
544,0.9999992813248246,1
545,0.9999999996372896,1
546,0.9999998448354657,1
547,0.9999952327780018,1
548,0.9582901052154602,1
549,0.6127601344518481,1
550,0.0657874478519705,0
551,0.006064043974657187,0
552,0.00266060846801817,0
553,0.0001760201346538833,0
554,4.6997372687651686e-05,0
555,3.910966755101081e-05,0
556,6.280189205593042e-05,0
557,0.0006152103776071667,0
558,0.01224437885970727,0
559,0.018016409913034055,0
560,0.00556704182285684,0
561,0.005236212797171149,0
562,0.019677207181147485,0
563,0.1318224551504842,0
564,0.958057929744583,1
565,0.9798866415375275,1
566,0.86065486033065,1
567,0.802303761206218,1
568,0.7930417964114505,1
569,0.8225839067446956,1
570,0.9967849068662206,1
571,0.999178858995383,1
572,0.8819856186007329,1
573,0.8051610177904127,1
574,0.7864258212716589,1
575,0.8071534355291249,1
576,0.9513700727292234,1
577,0.9459674884647798,1
