date,stress_sum,stress_mean,article_count,stress_articles,financial_terms,stress_terms,negative_terms,sources,fsi_raw,fsi_proportion,news_fsi
2020-07-06,2.414213562373095,0.2194739602157359,11,2,6,2,2,folha,0.2194739602157359,0.18181818181818182,0.08959986905940807
2020-07-13,3.414213562373095,0.42677669529663687,8,2,2,4,2,folha,0.42677669529663687,0.25,0.17423085626466897
2020-07-20,4.414213562373095,0.4414213562373095,10,2,8,4,3,folha,0.4414213562373095,0.2,0.1802095140581215
2020-07-27,5.650281539872885,0.7062851924841106,8,3,6,4,5,folha,0.7062851924841106,0.375,0.2883397224115786
2020-08-03,2.414213562373095,0.24142135623730948,10,2,3,4,4,folha,0.24142135623730948,0.2,0.09855985596534887
2020-08-10,3.0,0.25,12,2,7,1,4,folha,0.25,0.16666666666666666,0.10206207261596577
2020-08-17,14.348984679394842,0.6238688991041236,23,5,18,13,5,folha,0.6238688991041236,0.21739130434782608,0.2546934115328307
2020-08-24,10.485281374238571,0.5242640687119285,20,6,18,5,3,folha,0.5242640687119285,0.3,0.21402990980327405
2020-08-31,26.8130862945326,0.5059072885760868,53,18,54,17,19,"folha, g1",0.5059072885760868,0.33962264150943394,0.20653578569439568
2020-09-07,21.13092353972838,0.50311722713639,42,14,42,7,17,"folha, g1",0.50311722713639,0.3333333333333333,0.2053967478813503
2020-09-14,24.212687984551117,0.47475858793237485,51,16,40,14,11,"folha, g1",0.47475858793237485,0.3137254901960784,0.19381938190642964
2020-09-21,12.106343992275558,0.302658599806889,40,9,29,4,11,folha,0.302658599806889,0.225,0.1235598559653489
2020-09-28,22.727922061357855,0.3551237822087165,64,16,46,10,33,folha,0.3551237822087165,0.25,0.14497867698976974
2020-10-05,17.970047297431833,0.3098284016798592,58,12,50,9,17,folha,0.3098284016798592,0.20689655172413793,0.12648691532295359
2020-10-12,17.984659169786408,0.3670338606078859,49,11,37,10,17,folha,0.3670338606078859,0.22448979591836735,0.14984094613552124
2020-10-19,8.31319304793945,0.18072158799868368,46,5,54,2,8,folha,0.18072158799868368,0.10869565217391304,0.0737792793503772
2020-10-26,34.41347625105256,0.5294380961700393,65,21,57,10,32,folha,0.5294380961700393,0.3230769230769231,0.21614219766786089
2020-11-02,16.838394799844437,0.27603925901384324,61,13,49,7,18,folha,0.27603925901384324,0.21311475409836064,0.11269255559331301
2020-11-09,24.95935066447457,0.3670492744775672,68,15,66,11,24,folha,0.3670492744775672,0.22058823529411764,0.14984723882146805
2020-11-16,15.681433796945203,0.21481416160198907,73,11,51,7,13,folha,0.21481416160198907,0.1506849315068493,0.08769751424144005
2020-11-23,15.65685424949238,0.16835327149991805,93,10,61,17,17,folha,0.16835327149991805,0.10752688172043011,0.06872993528384014
2020-11-30,33.50521672443506,0.3722801858270562,90,22,74,12,20,"folha, g1",0.3722801858270562,0.24444444444444444,0.15198274943746495
2020-12-07,24.970562748477143,0.25222790655027416,99,19,67,13,25,"valor, folha",0.25222790655027416,0.1919191919191919,0.10297161165642843
2020-12-14,22.8130862945326,0.24796832928839782,92,16,63,13,22,"folha, valor",0.24796832928839782,0.17391304347826086,0.10123264652116867
2020-12-21,13.074467600217481,0.19514130746593256,67,7,42,9,18,"folha, valor",0.19514130746593256,0.1044776119402985,0.07966610517185004
2020-12-28,21.87418643129983,0.22550707661133845,97,15,69,16,21,"folha, valor",0.22550707661133845,0.15463917525773196,0.09206287851408232
2021-01-11,1.0,1.0,1,1,1,0,1,g1,1.0,1.0,0.4082482904638631
2021-02-08,5.449489742783178,0.7784985346833111,7,3,8,2,1,folha,0.7784985346833111,0.42857142857142855,0.31782069591308415
2021-02-15,2.0,0.4,5,1,3,2,2,folha,0.4,0.2,0.16329931618554522
2021-02-22,3.414213562373095,0.682842712474619,5,2,4,2,5,folha,0.682842712474619,0.4,0.2787693700234704
2021-03-01,6.863703305156273,0.5719752754296894,12,4,6,7,5,folha,0.5719752754296894,0.3333333333333333,0.2335079283817679
2021-03-08,4.0,0.5,8,2,4,4,3,folha,0.5,0.25,0.20412414523193154
2021-03-15,0.0,0.0,9,0,3,0,0,folha,0.0,0.0,0.0
2021-03-22,0.0,0.0,3,0,2,0,1,folha,0.0,0.0,0.0
2021-03-29,4.1815405503520555,1.0453851375880139,4,2,6,2,1,folha,1.0453851375880139,0.5,0.4267766952966369
2021-04-05,1.4142135623730951,0.20203050891044216,7,1,2,1,3,folha,0.20203050891044216,0.14285714285714285,0.08247860988423227
2021-04-12,0.0,0.0,10,0,4,3,2,folha,0.0,0.0,0.0
2021-04-19,1.7320508075688772,0.21650635094610965,8,1,3,1,1,folha,0.21650635094610965,0.125,0.08838834764831845
2021-04-26,1.0,0.14285714285714285,7,1,5,1,1,folha,0.14285714285714285,0.14285714285714285,0.058321184351980436
2021-05-03,2.414213562373095,0.48284271247461896,5,2,3,0,3,folha,0.48284271247461896,0.4,0.19711971193069774
2021-05-10,2.0,0.3333333333333333,6,2,2,1,3,folha,0.3333333333333333,0.3333333333333333,0.13608276348795434
2021-05-17,6.242640687119286,0.6242640687119285,10,5,10,2,3,folha,0.6242640687119285,0.5,0.25485473884966037
2021-05-24,0.0,0.0,8,0,3,3,3,"g1, folha",0.0,0.0,0.0
2021-05-31,5.414213562373095,0.9023689270621825,6,3,6,2,4,folha,0.9023689270621825,0.5,0.36839057184084634
2021-06-07,0.0,0.0,5,0,0,0,1,folha,0.0,0.0,0.0
2021-06-14,0.0,0.0,7,0,2,0,1,folha,0.0,0.0,0.0
2021-06-21,1.0,0.25,4,1,2,0,1,folha,0.25,0.25,0.10206207261596577
2021-06-28,0.0,0.0,3,0,0,0,0,folha,0.0,0.0,0.0
2021-07-05,0.0,0.0,3,0,2,0,0,folha,0.0,0.0,0.0
